index	answer	question	image_path
102	[[0.102, 0.582], [0.168, 0.582], [0.168, 0.652], [0.102, 0.652]]	among the 6 storage tanks, find the one in the middle left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011725.jpg
103	[[0.113, 0.672], [0.18, 0.672], [0.18, 0.742], [0.113, 0.742]]	among the 6 oil tanks, find the one in the bottom left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011725.jpg
104	[[0.012, 0.074], [0.074, 0.074], [0.074, 0.148], [0.012, 0.148]]	among the 6 storage tanks, find the one in the top left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011725.jpg
105	[[0.184, 0.562], [0.242, 0.562], [0.242, 0.637], [0.184, 0.637]]	among the 6 storage tanks, find the one in the middle left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011725.jpg
106	[[0.645, 0.152], [0.766, 0.152], [0.766, 0.289], [0.645, 0.289]]	the ship at the top right corner in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011726.jpg
107	[[0.008, 0.215], [0.086, 0.215], [0.086, 0.297], [0.008, 0.297]]	locate the fuel tank on the upper left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011726.jpg
108	[[0.031, 0.312], [0.102, 0.312], [0.102, 0.391], [0.031, 0.391]]	locate the storage tank towards the left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011726.jpg
109	[[0.102, 0.207], [0.168, 0.207], [0.168, 0.277], [0.102, 0.277]]	find the on the upper left cylindrical tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011726.jpg
110	[[0.113, 0.297], [0.18, 0.297], [0.18, 0.367], [0.113, 0.367]]	find the in the middle left oil tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011726.jpg
111	[[0.184, 0.188], [0.242, 0.188], [0.242, 0.262], [0.184, 0.262]]	among the 5 fuel tanks, find the one on the upper left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011726.jpg
112	[[0.398, 0.816], [0.547, 0.816], [0.547, 0.961], [0.398, 0.961]]	the vessel bottom-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011729.jpg
113	[[0.891, 0.625], [0.961, 0.625], [0.961, 0.715], [0.891, 0.715]]	among the 6 fuel tanks, find the one at the bottom right corner in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011729.jpg
114	[[0.812, 0.594], [0.883, 0.594], [0.883, 0.68], [0.812, 0.68]]	the storage tank that is towards the right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011729.jpg
115	[[0.824, 0.887], [0.898, 0.887], [0.898, 0.965], [0.824, 0.965]]	the cylindrical tank that is on the lower right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011729.jpg
116	[[0.859, 0.723], [0.93, 0.723], [0.93, 0.801], [0.859, 0.801]]	find the on the lower right fuel tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011729.jpg
